Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,1536.119995,1550.300049,1536.119995,1550.010010,1550.010010,3357250000
2018-01-03,1550.280029,1555.079956,1547.589966,1552.579956,1552.579956,3538660000
2018-01-04,1552.979980,1560.839966,1552.369995,1555.719971,1555.719971,3695260000
2018-01-05,1555.869995,1560.069946,1552.130005,1560.010010,1560.010010,3236620000
2018-01-08,1559.800049,1562.989990,1548.229980,1561.810059,1561.810059,3242650000
2018-01-09,1562.219971,1565.579956,1558.859985,1560.099976,1560.099976,3453480000
2018-01-10,1559.010010,1561.910034,1551.520020,1559.800049,1559.800049,3576350000
2018-01-11,1560.219971,1586.790039,1560.219971,1586.790039,1586.790039,3641320000
2018-01-12,1587.119995,1598.180054,1587.119995,1591.969971,1591.969971,3573970000
2018-01-16,1592.910034,1604.020020,1570.750000,1572.969971,1572.969971,4325970000
2018-01-17,1573.729980,1589.130005,1573.729980,1586.660034,1586.660034,3778050000
2018-01-18,1586.310059,1586.310059,1576.410034,1576.729980,1576.729980,3681470000
2018-01-19,1576.500000,1597.630005,1575.319946,1597.630005,1597.630005,3609430000
2018-01-22,1598.140015,1605.170044,1595.550049,1605.170044,1605.170044,3471780000
2018-01-23,1604.939941,1612.550049,1599.209961,1610.709961,1610.709961,3519650000
2018-01-24,1611.689941,1615.520020,1595.939941,1601.770020,1601.770020,3994070000
2018-01-25,1601.589966,1607.790039,1594.420044,1601.670044,1601.670044,3835150000
2018-01-26,1602.969971,1608.060059,1599.500000,1608.060059,1608.060059,3443230000
2018-01-29,1607.810059,1607.949951,1597.880005,1598.109985,1598.109985,3573830000
2018-01-30,1595.640015,1595.640015,1579.489990,1582.819946,1582.819946,3990650000
2018-01-31,1584.709961,1594.270020,1571.260010,1574.979980,1574.979980,4261280000
2018-02-01,1574.729980,1582.280029,1568.849976,1579.869995,1579.869995,3938450000
2018-02-02,1577.030029,1577.030029,1547.060059,1547.270020,1547.270020,4301130000
2018-02-05,1544.939941,1547.030029,1491.060059,1491.089966,1491.089966,5283460000
2018-02-06,1486.849976,1512.979980,1461.449951,1507.170044,1507.170044,5891660000
2018-02-07,1506.660034,1517.000000,1503.319946,1507.969971,1507.969971,4626570000
2018-02-08,1508.449951,1511.209961,1463.739990,1463.790039,1463.790039,5305440000
2018-02-09,1467.719971,1487.579956,1436.430054,1477.839966,1477.839966,5680070000
2018-02-12,1479.109985,1498.109985,1466.880005,1490.979980,1490.979980,4055790000
2018-02-13,1489.660034,1497.020020,1481.939941,1494.949951,1494.949951,3472870000
2018-02-14,1492.760010,1523.890015,1483.290039,1522.099976,1522.099976,4003740000
2018-02-15,1524.180054,1537.770020,1516.880005,1537.199951,1537.199951,3684910000
2018-02-16,1536.319946,1551.510010,1532.219971,1543.550049,1543.550049,3637460000
2018-02-20,1542.380005,1546.430054,1527.560059,1529.989990,1529.989990,3627610000
2018-02-21,1530.479980,1555.280029,1530.479980,1531.839966,1531.839966,3779400000
2018-02-22,1532.790039,1548.290039,1529.199951,1529.989990,1529.989990,3701270000
2018-02-23,1531.349976,1549.189941,1531.349976,1549.189941,1549.189941,3189190000
2018-02-26,1550.089966,1560.739990,1544.989990,1559.329956,1559.329956,3424650000
2018-02-27,1559.270020,1564.630005,1536.469971,1536.469971,1536.469971,3745080000
2018-02-28,1536.800049,1543.750000,1512.449951,1512.449951,1512.449951,4230660000
2018-03-01,1512.069946,1522.469971,1494.290039,1507.390015,1507.390015,4503970000
2018-03-02,1506.810059,1535.199951,1494.000000,1533.170044,1533.170044,3882450000
2018-03-05,1531.989990,1550.760010,1525.079956,1546.050049,1546.050049,3710810000
2018-03-06,1546.719971,1562.199951,1538.630005,1562.199951,1562.199951,3370690000
2018-03-07,1560.969971,1576.729980,1550.469971,1574.530029,1574.530029,3393270000
2018-03-08,1575.650024,1580.489990,1564.589966,1571.969971,1571.969971,3212320000
2018-03-09,1573.189941,1597.300049,1573.189941,1597.140015,1597.140015,3364100000
2018-03-12,1597.290039,1603.790039,1594.109985,1601.060059,1601.060059,3185020000
2018-03-13,1601.650024,1609.050049,1590.109985,1592.050049,1592.050049,3301650000
2018-03-14,1592.459961,1598.329956,1582.640015,1584.310059,1584.310059,3391360000
2018-03-15,1584.400024,1588.020020,1572.160034,1576.619995,1576.619995,3500330000
2018-03-16,1576.579956,1588.920044,1575.410034,1586.050049,1586.050049,5372340000
2018-03-19,1585.829956,1585.829956,1553.900024,1570.560059,1570.560059,3282130000
2018-03-20,1570.849976,1575.780029,1566.750000,1570.410034,1570.410034,3261030000
2018-03-21,1570.400024,1587.739990,1570.400024,1579.300049,1579.300049,3415510000
2018-03-22,1576.589966,1576.589966,1543.869995,1543.869995,1543.869995,3739800000
2018-03-23,1544.310059,1548.729980,1510.079956,1510.079956,1510.079956,3815080000
2018-03-26,1513.540039,1543.810059,1513.540039,1543.719971,1543.719971,3511100000
2018-03-27,1544.449951,1547.709961,1508.939941,1513.569946,1513.569946,3706350000
2018-03-28,1513.800049,1521.349976,1505.640015,1513.030029,1513.030029,3864500000
2018-03-29,1513.310059,1540.020020,1513.310059,1529.430054,1529.430054,3565990000
2018-04-02,1529.140015,1529.140015,1482.900024,1492.530029,1492.530029,3588520000
2018-04-03,1493.869995,1514.560059,1493.869995,1512.150024,1512.150024,3392810000
2018-04-04,1508.599976,1534.569946,1491.689941,1531.660034,1531.660034,3350340000
2018-04-05,1532.949951,1545.280029,1532.949951,1542.930054,1542.930054,3175970000
2018-04-06,1540.010010,1541.069946,1502.630005,1513.300049,1513.300049,3299700000
2018-04-09,1513.900024,1533.939941,1513.900024,1514.459961,1514.459961,3062960000
2018-04-10,1517.050049,1548.079956,1517.050049,1543.430054,1543.430054,3543930000
2018-04-11,1542.459961,1551.369995,1535.760010,1546.800049,1546.800049,3020760000
2018-04-12,1548.030029,1562.459961,1548.030029,1557.329956,1557.329956,3021320000
2018-04-13,1558.109985,1563.750000,1545.060059,1549.510010,1549.510010,2960910000
2018-04-16,1550.560059,1566.400024,1550.510010,1563.030029,1563.030029,3019700000
2018-04-17,1564.869995,1582.989990,1564.869995,1579.800049,1579.800049,3234360000
2018-04-18,1580.180054,1592.040039,1580.180054,1583.560059,1583.560059,3383410000
2018-04-19,1582.819946,1582.949951,1569.160034,1573.819946,1573.819946,3349370000
2018-04-20,1573.530029,1574.239990,1561.719971,1564.119995,1564.119995,3388590000
2018-04-23,1564.420044,1571.469971,1556.270020,1562.119995,1562.119995,3017480000
2018-04-24,1562.390015,1574.479980,1542.300049,1553.280029,1553.280029,3706740000
2018-04-25,1553.000000,1556.089966,1539.949951,1550.469971,1550.469971,3499440000
2018-04-26,1550.920044,1562.500000,1550.310059,1557.890015,1557.890015,3665720000
2018-04-27,1557.949951,1562.979980,1549.479980,1556.239990,1556.239990,3219030000
2018-04-30,1556.670044,1563.650024,1541.880005,1541.880005,1541.880005,3734530000
2018-05-01,1541.770020,1550.859985,1527.709961,1550.329956,1550.329956,3559850000
2018-05-02,1550.449951,1565.369995,1548.920044,1554.910034,1554.910034,4010770000
2018-05-03,1554.339966,1554.339966,1532.310059,1546.560059,1546.560059,3851470000
2018-05-04,1545.829956,1572.770020,1540.369995,1565.599976,1565.599976,3327220000
2018-05-07,1565.719971,1586.410034,1565.719971,1578.949951,1578.949951,3237960000
2018-05-08,1578.670044,1586.589966,1576.890015,1586.390015,1586.390015,3717570000
2018-05-09,1586.739990,1598.760010,1584.170044,1596.050049,1596.050049,3909500000
2018-05-10,1596.540039,1609.449951,1596.540039,1603.709961,1603.709961,3333050000
2018-05-11,1603.869995,1609.359985,1599.910034,1606.790039,1606.790039,2862700000
2018-05-14,1607.390015,1614.239990,1599.729980,1600.339966,1600.339966,2972660000
2018-05-15,1599.599976,1603.160034,1592.099976,1600.339966,1600.339966,3290680000
2018-05-16,1601.030029,1620.640015,1601.030029,1616.369995,1616.369995,3202670000
2018-05-17,1616.219971,1627.319946,1615.459961,1625.290039,1625.290039,3475400000
2018-05-18,1626.060059,1630.329956,1624.229980,1626.630005,1626.630005,3368690000
2018-05-21,1627.770020,1639.040039,1627.770020,1637.439941,1637.439941,3009890000
2018-05-22,1637.650024,1639.890015,1625.239990,1625.239990,1625.239990,3366310000
2018-05-23,1624.920044,1629.400024,1618.560059,1627.609985,1627.609985,3326290000
2018-05-24,1627.219971,1630.310059,1616.589966,1628.219971,1628.219971,3256030000
2018-05-25,1627.930054,1628.729980,1623.329956,1626.930054,1626.930054,2995260000
2018-05-29,1625.569946,1628.479980,1611.319946,1623.650024,1623.650024,3736890000
2018-05-30,1624.030029,1651.109985,1624.030029,1647.989990,1647.989990,3561050000
2018-05-31,1647.969971,1649.729980,1632.250000,1633.609985,1633.609985,4235370000
2018-06-01,1635.400024,1650.500000,1635.400024,1647.979980,1647.979980,3684130000
2018-06-04,1649.199951,1655.709961,1641.219971,1653.369995,1653.369995,3376510000
2018-06-05,1653.689941,1664.689941,1652.760010,1664.630005,1664.630005,3517790000
2018-06-06,1665.199951,1676.180054,1664.449951,1675.949951,1675.949951,3651640000
2018-06-07,1676.520020,1679.989990,1660.890015,1667.770020,1667.770020,3711330000
2018-06-08,1667.609985,1674.069946,1665.729980,1672.489990,1672.489990,3123210000
2018-06-11,1672.500000,1677.680054,1671.260010,1674.680054,1674.680054,3232330000
2018-06-12,1674.939941,1686.369995,1674.939941,1682.300049,1682.300049,3401010000
2018-06-13,1682.719971,1684.839966,1673.920044,1676.540039,1676.540039,3779230000
2018-06-14,1677.030029,1684.729980,1674.530029,1684.719971,1684.719971,3526890000
2018-06-15,1684.239990,1684.630005,1672.989990,1683.910034,1683.910034,5428790000
2018-06-18,1683.510010,1692.459961,1674.410034,1692.459961,1692.459961,3287150000
2018-06-19,1692.010010,1694.000000,1672.660034,1693.449951,1693.449951,3661470000
